Brand,Discount,Price,Product Name,Rating,Reviewer
COWBOY,0%,575000.0,Cowboy 7545R Gitarlele Akustik Elketrik,0.0,0.0
GIBSON,0%,12500000.0,Gibson USA Les Pau Bfg Gitar Listrik - Worn Ebony,0.0,0.0
MANUEL RODRIGUEZ,28%,7195000.0,Manuel Rodriguez C3 3002 Gitar Akustik,0.0,0.0
YAMAHA,44%,888000.0,Yamaha Natural Guitar C 315,4.0,29.0
MYM,16%,750000.0,MYM Taylor Custom Gitar Akustik Elektrik,0.0,0.0
COWBOY,0%,1098000.0,Cowboy GWC 235 NS Set Gitar Akustik [Gitar+Tas+Pick+Kabel Jack],0.0,0.0
FENDER,14%,300000.0,Fender Gitar Akustik Pemula,4.0,6.0
FENDER,14%,300000.0,Fender C315 Classic Gitar Akustik,3.0,8.0
YAMAHA,0%,875000.0,Yamaha APX Gitar Akustik Elektrik,4.0,1.0
FENDER,0%,350000.0,Fender Custom Gitar Akustik + Free Senar Cadagan + Pick Gitar + Softcase,0.0,0.0
MYM,25%,600000.0,MYM APX 500i Custom Gitar Akustik,5.0,2.0
YAMAHA MUSIK INDONESIA,0%,10120000.0,Yamaha FGTA Gitar Akustik Elektrik,0.0,0.0
TAYLOR,2%,8950000.0,Taylor Big Baby Walnut with Preamp Gitar Akustik,0.0,0.0
FENDER,14%,300000.0,Fender Custom Gitar Akustik Pemula,5.0,2.0
FENDER,0%,110000.0,Fender Paket Ukulele Custom,4.0,11.0
YAMAHA,17%,1128800.0,Yamaha Classic Guitar C-330                                                                                                     ,5.0,1.0
YAMAHA,15%,1207000.0,Yamaha Folk Guitar F-335                                                                                                        ,5.0,5.0
YAMAHA,15%,1555500.0,Yamaha Classic Guitar CG-102                                                                                                    ,5.0,6.0
YAMAHA,16%,1663200.0,Yamaha Classic Guitar C-80                                                                                                      ,4.0,6.0
YAMAHA,16%,1537200.0,Yamaha Electric Acoustic Guitar CX-40                                                                                           ,4.0,3.0
YAMAHA,6%,1165600.0,Yamaha Folk Guitar F-310 Tobacco Brown Sunburst                                                                                 ,4.0,8.0
YAMAHA,15%,1309000.0,Yamaha Folk Guitar JR-2 Tobacco Brown Sunburst                                                                                  ,5.0,2.0
YAMAHA,15%,3825000.0,Yamaha Gitar Klasik C 80 Gitar Akustik + Free Softcase,0.0,0.0
YAMAHA,15%,1436500.0,Yamaha Folk Guitar JR-2S Tobacco Brown Sunburst                                                                                 ,5.0,1.0
YAMAHA,38%,1249000.0,Yamaha C70 Gitar + Free Softcase + 2 Pick Gitar,4.0,1.0
YAMAHA,42%,1129000.0,Yamaha C330A  Gitar + Free Softcase + 2  Pick Gitar,0.0,0.0
YAMAHA,41%,1529000.0,Yamaha CX40 Gitar Akustik + Free Softcase + 2 Pick Gitar,0.0,0.0
YAMAHA,44%,888000.0,Yamaha C-315 Gitar,0.0,0.0
YAMAHA,41%,1199000.0,Yamaha Gitar C70,5.0,1.0
YAMAHA,41%,1489000.0,Yamaha Gitar C390,0.0,0.0
ERNIEBALL,0%,80000.0,Ernieball Light Senar Gitar,0.0,0.0
GRANDE,0%,350000.0,Grande Series Gitar Ukulele ,0.0,0.0
COWBOY,0%,575000.0,Cowboy 7545R Gitarlele Akustik Elketrik,0.0,0.0
GIBSON,0%,12500000.0,Gibson USA Les Pau Bfg Gitar Listrik - Worn Ebony,0.0,0.0
MANUEL RODRIGUEZ,28%,7195000.0,Manuel Rodriguez C3 3002 Gitar Akustik,0.0,0.0
YAMAHA,44%,888000.0,Yamaha Natural Guitar C 315,4.0,29.0
MYM,16%,750000.0,MYM Taylor Custom Gitar Akustik Elektrik,0.0,0.0
COWBOY,0%,1098000.0,Cowboy GWC 235 NS Set Gitar Akustik [Gitar+Tas+Pick+Kabel Jack],0.0,0.0
FENDER,14%,300000.0,Fender Gitar Akustik Pemula,4.0,6.0
FENDER,14%,300000.0,Fender C315 Classic Gitar Akustik,3.0,8.0
YAMAHA,0%,875000.0,Yamaha APX Gitar Akustik Elektrik,4.0,1.0
FENDER,0%,350000.0,Fender Custom Gitar Akustik + Free Senar Cadagan + Pick Gitar + Softcase,0.0,0.0
MYM,25%,600000.0,MYM APX 500i Custom Gitar Akustik,5.0,2.0
YAMAHA MUSIK INDONESIA,0%,10120000.0,Yamaha FGTA Gitar Akustik Elektrik,0.0,0.0
TAYLOR,2%,8950000.0,Taylor Big Baby Walnut with Preamp Gitar Akustik,0.0,0.0
FENDER,14%,300000.0,Fender Custom Gitar Akustik Pemula,5.0,2.0
FENDER,0%,110000.0,Fender Paket Ukulele Custom,4.0,11.0
YAMAHA,17%,1128800.0,Yamaha Classic Guitar C-330                                                                                                     ,5.0,1.0
YAMAHA,15%,1207000.0,Yamaha Folk Guitar F-335                                                                                                        ,5.0,5.0
YAMAHA,15%,1555500.0,Yamaha Classic Guitar CG-102                                                                                                    ,5.0,6.0
YAMAHA,16%,1663200.0,Yamaha Classic Guitar C-80                                                                                                      ,4.0,6.0
YAMAHA,16%,1537200.0,Yamaha Electric Acoustic Guitar CX-40                                                                                           ,4.0,3.0
YAMAHA,6%,1165600.0,Yamaha Folk Guitar F-310 Tobacco Brown Sunburst                                                                                 ,4.0,8.0
YAMAHA,15%,1309000.0,Yamaha Folk Guitar JR-2 Tobacco Brown Sunburst                                                                                  ,5.0,2.0
YAMAHA,15%,3825000.0,Yamaha Gitar Klasik C 80 Gitar Akustik + Free Softcase,0.0,0.0
YAMAHA,15%,1436500.0,Yamaha Folk Guitar JR-2S Tobacco Brown Sunburst                                                                                 ,5.0,1.0
YAMAHA,38%,1249000.0,Yamaha C70 Gitar + Free Softcase + 2 Pick Gitar,4.0,1.0
YAMAHA,42%,1129000.0,Yamaha C330A  Gitar + Free Softcase + 2  Pick Gitar,0.0,0.0
YAMAHA,41%,1529000.0,Yamaha CX40 Gitar Akustik + Free Softcase + 2 Pick Gitar,0.0,0.0
YAMAHA,44%,888000.0,Yamaha C-315 Gitar,0.0,0.0
YAMAHA,41%,1199000.0,Yamaha Gitar C70,5.0,1.0
YAMAHA,41%,1489000.0,Yamaha Gitar C390,0.0,0.0
ERNIEBALL,0%,80000.0,Ernieball Light Senar Gitar,0.0,0.0
GRANDE,0%,350000.0,Grande Series Gitar Ukulele ,0.0,0.0
